id,problem_text,solution_text,error_type_internal,fgos_section,grade,expert_consensus,annotator_notes
1,Найдите сумму дробей 1/3 + 1/4,1/3 + 1/4 = 2/7,concept_error,дроби,5,agreement,Сложил числители и знаменатели
2,Найдите (-2)^4,(-2)^4 = -16,concept_error,степени,6,agreement,Не учёл чётность степени
3,Вычислите 3/5 + 2/5,3/5 + 2/5 = 5/10,concept_error,дроби,5,agreement,Сложил знаменатели при одинаковых знаменателях
4,Решите x^2 = -4,x = корень из -4 = 2,concept_error,уравнения,8,agreement,Не знает что корень из отрицательного числа не существует в R
5,Найдите 2/3 от числа 90,2/3 от 90 = 90 / 2 + 90 / 3 = 45 + 30 = 75,concept_error,дроби,5,agreement,Не понимает операцию нахождения доли числа
6,Вычислите (a+b)^2,a^2 + b^2,concept_error,степени,7,agreement,Забыл член 2ab при раскрытии квадрата суммы
7,Найдите значение выражения 5 - (-3),5 - (-3) = 5 - 3 = 2,concept_error,арифметика,6,agreement,Не применил правило вычитания отрицательного числа
8,Решите уравнение 2x = 0,x = 2,concept_error,уравнения,6,agreement,Не понимает что при 2x=0 x=0
9,Найдите НОД(12 и 18) через разложение на множители,12 = 2*6. 18 = 2*9. НОД = 2,concept_error,арифметика,5,agreement,Взял только один общий множитель вместо произведения всех общих
10,Вычислите дробь: 2/3 разделить на 4/5,(2/3) / (4/5) = (2*4)/(3*5) = 8/15,concept_error,дроби,6,agreement,Не применил правило деления дробей (умножение на обратную)
11,Решите |x| = -3,x = -3 или x = 3,concept_error,уравнения,8,agreement,Не знает что модуль не может быть отрицательным — решений нет
12,Найдите площадь треугольника с основанием 6 и высотой 4,S = 6 * 4 = 24,concept_error,геометрия,5,agreement,Не применил формулу S = 0.5 * a * h
13,Вычислите корень из 0.09,корень из 0.09 = 0.9,concept_error,степени,8,agreement,Правильно
14,Упростите дробь 15/20,15/20 = 3/5,concept_error,дроби,5,agreement,Правильно — поставлен для баланса класса
15,Решите уравнение x/3 = 0,x = 3,concept_error,уравнения,6,agreement,Разделил вместо умножения — не понимает обратную операцию
16,Найдите 1/2 + 1/3 + 1/6,1/2 + 1/3 + 1/6 = 3/6 + 2/6 + 1/6 = 5/6,concept_error,дроби,5,agreement,Правильно — баланс
17,Найдите (-3)^3,(-3)^3 = 27,concept_error,степени,6,agreement,Не учёл нечётность степени — потерял знак минус
18,Вычислите 4^(1/2),4^(1/2) = 2,concept_error,степени,8,agreement,Правильно — баланс
19,Найдите значение 3^0,3^0 = 0,concept_error,степени,7,agreement,Не знает что любое число в степени 0 равно 1
20,Решите уравнение x^2 + 4 = 0,x = ±2,concept_error,уравнения,9,agreement,Не проверил дискриминант — решений в R нет
21,Найдите сумму 1/4 + 3/4,1/4 + 3/4 = 4/8 = 1/2,concept_error,дроби,5,agreement,Сложил знаменатели при одинаковых знаменателях
22,Вычислите (-1)^100,(-1)^100 = -1,concept_error,степени,6,agreement,Не учёл чётность степени
23,Найдите периметр квадрата со стороной 5,P = 5^2 = 25,concept_error,геометрия,5,agreement,Перепутал формулы периметра и площади
24,Решите дробное уравнение 1/x = 2,x = 1/2,concept_error,уравнения,8,agreement,Правильно — баланс
25,Найдите 30% от числа 200,30% от 200 = 200 / 30 = 6.6,concept_error,арифметика,6,agreement,Не знает алгоритм нахождения процента
26,Вычислите 12 * 25,12 * 25 = 280,computation_error,арифметика,5,agreement,Арифметическая ошибка при умножении
27,Решите 3x + 7 = 22,3x = 22 - 7 = 14. x = 14/3,computation_error,уравнения,7,agreement,Ошибка: 22-7=14 вместо 15
28,Найдите 17 + 28,17 + 28 = 35,computation_error,арифметика,5,agreement,Ошибка при сложении: 35 вместо 45
29,Решите 5x = 35,5x = 35. x = 8,computation_error,уравнения,6,agreement,Ошибка при делении: 35/5=8 вместо 7
30,Вычислите 0.3 * 0.7,0.3 * 0.7 = 2.1,computation_error,дроби,6,agreement,Не учёл сдвиг десятичной точки
31,Найдите 8^2,8^2 = 72,computation_error,степени,6,agreement,Ошибка: 8*8=72 вместо 64
32,Решите 4x - 3 = 17,4x = 17 + 3 = 20. x = 6,computation_error,уравнения,7,agreement,Ошибка: 20/4=6 вместо 5
33,Вычислите 15% от 60,15% от 60 = 0.15 * 60 = 80,computation_error,арифметика,6,agreement,Ошибка при умножении
34,Найдите периметр прямоугольника 4x7,P = 2*(4+7) = 22,computation_error,геометрия,5,agreement,Правильно — баланс
35,Решите x + 14 = 30,x = 30 - 14 = 14,computation_error,уравнения,5,agreement,Ошибка: 30-14=14 вместо 16
36,Вычислите корень из 144,корень из 144 = 13,computation_error,степени,8,agreement,Ошибка: 13 вместо 12
37,Найдите 7 * 8,7 * 8 = 54,computation_error,арифметика,5,agreement,Ошибка в таблице умножения: 54 вместо 56
38,Решите 2x + 5 = 19,2x = 19 - 5 = 14. x = 6,computation_error,уравнения,7,agreement,Ошибка: 14/2=6 вместо 7
39,Вычислите 9^2,9^2 = 81,computation_error,степени,6,agreement,Правильно — баланс
40,Найдите 56 / 8,56 / 8 = 6,computation_error,арифметика,5,agreement,Ошибка: 56/8=6 вместо 7
41,Вычислите 13 * 6,13 * 6 = 68,computation_error,арифметика,5,agreement,Ошибка: 68 вместо 78
42,Решите 6x = 42,6x = 42. x = 8,computation_error,уравнения,6,agreement,Ошибка: 42/6=8 вместо 7
43,Найдите 0.5 * 0.4,0.5 * 0.4 = 0.9,computation_error,дроби,6,agreement,Сложил вместо умножения
44,Вычислите 25% от 120,25% от 120 = 0.25 * 120 = 40,computation_error,арифметика,6,agreement,Правильно — баланс
45,Найдите 144 / 12,144 / 12 = 13,computation_error,арифметика,5,agreement,Ошибка: 13 вместо 12
46,Решите 3x - 9 = 0,3x = 9. x = 4,computation_error,уравнения,7,agreement,Ошибка: 9/3=4 вместо 3
47,Вычислите 11^2,11^2 = 121,computation_error,степени,7,agreement,Правильно — баланс
48,Найдите 84 / 7,84 / 7 = 13,computation_error,арифметика,5,agreement,Ошибка: 13 вместо 12
49,Вычислите 2.5 * 4,2.5 * 4 = 8,computation_error,дроби,6,agreement,Правильно — баланс
50,Решите 7x = 49,7x = 49. x = 8,computation_error,уравнения,6,agreement,Ошибка: 49/7=8 вместо 7
51,Найдите 99 * 3,99 * 3 = 297,computation_error,арифметика,5,agreement,Правильно — баланс
52,Вычислите 4.2 + 3.9,4.2 + 3.9 = 7.1,computation_error,дроби,6,agreement,Ошибка при сложении десятичных: 7.1 вместо 8.1
53,Найдите 15^2,15^2 = 215,computation_error,степени,7,agreement,Ошибка: 215 вместо 225
54,Решите 9x = 63,9x = 63. x = 7,computation_error,уравнения,6,agreement,Правильно — баланс
55,Вычислите 125 / 5,125 / 5 = 30,computation_error,арифметика,6,agreement,Ошибка: 30 вместо 25
56,Решите x^2 = 9,x = корень из 9 = 3,procedural_error,уравнения,8,agreement,Забыл отрицательный корень
57,Решите x^2 - 5x + 6 = 0,D = 25 - 24 = 1. x = 2,procedural_error,уравнения,9,agreement,Нашёл только один из двух корней
58,Найдите все корни x^2 = 25,x = 5,procedural_error,уравнения,8,agreement,Забыл x = -5
59,Решите неравенство x^2 > 4,x > 2,procedural_error,уравнения,9,agreement,Не учёл область x < -2
60,Решите уравнение x^2 - 4 = 0,x^2 = 4. x = 2,procedural_error,уравнения,8,agreement,Забыл x = -2
61,Решите x^2 + 3x = 0,x(x + 3) = 0. x = -3,procedural_error,уравнения,9,agreement,Нашёл только один корень из двух (x=0 пропустил)
